Geo_id,Geo_id_type,Positive,Total,Deaths,Update_time,Source_geo
86444,ZCTA,0,NA,NA,2020-05-22,Arizona
86445,ZCTA,0,NA,NA,2020-05-22,Arizona
86443,ZCTA,0,NA,NA,2020-05-22,Arizona
86432,ZCTA,6,NA,NA,2020-05-22,Arizona
85607,ZCTA,21,NA,NA,2020-05-22,Arizona
85610,ZCTA,0,NA,NA,2020-05-22,Arizona
85621,ZCTA,73,NA,NA,2020-05-22,Arizona
85624,ZCTA,1,NA,NA,2020-05-22,Arizona
85645,ZCTA,1,NA,NA,2020-05-22,Arizona
85638,ZCTA,0,NA,NA,2020-05-22,Arizona
85611,ZCTA,1,NA,NA,2020-05-22,Arizona
85603,ZCTA,0,NA,NA,2020-05-22,Arizona
85615,ZCTA,1,NA,NA,2020-05-22,Arizona
85637,ZCTA,0,NA,NA,2020-05-22,Arizona
85616,ZCTA,1,NA,NA,2020-05-22,Arizona
85648,ZCTA,53,NA,NA,2020-05-22,Arizona
85617,ZCTA,0,NA,NA,2020-05-22,Arizona
85601,ZCTA,0,NA,NA,2020-05-22,Arizona
85635,ZCTA,14,NA,NA,2020-05-22,Arizona
85650,ZCTA,6,NA,NA,2020-05-22,Arizona
85613,ZCTA,1,NA,NA,2020-05-22,Arizona
85646,ZCTA,1,NA,NA,2020-05-22,Arizona
85633,ZCTA,0,NA,NA,2020-05-22,Arizona
85620,ZCTA,0,NA,NA,2020-05-22,Arizona
85640,ZCTA,0,NA,NA,2020-05-22,Arizona
85337,ZCTA,1,NA,NA,2020-05-22,Arizona
85132,ZCTA,174,NA,NA,2020-05-22,Arizona
85341,ZCTA,0,NA,NA,2020-05-22,Arizona
85333,ZCTA,0,NA,NA,2020-05-22,Arizona
85193,ZCTA,12,NA,NA,2020-05-22,Arizona
85321,ZCTA,0,NA,NA,2020-05-22,Arizona
85736,ZCTA,6,NA,NA,2020-05-22,Arizona
85653,ZCTA,17,NA,NA,2020-05-22,Arizona
85139,ZCTA,21,NA,NA,2020-05-22,Arizona
85131,ZCTA,93,NA,NA,2020-05-22,Arizona
85735,ZCTA,15,NA,NA,2020-05-22,Arizona
85658,ZCTA,14,NA,NA,2020-05-22,Arizona
85138,ZCTA,52,NA,NA,2020-05-22,Arizona
85128,ZCTA,23,NA,NA,2020-05-22,Arizona
85743,ZCTA,42,NA,NA,2020-05-22,Arizona
85145,ZCTA,1,NA,NA,2020-05-22,Arizona
85194,ZCTA,6,NA,NA,2020-05-22,Arizona
85172,ZCTA,1,NA,NA,2020-05-22,Arizona
85122,ZCTA,124,NA,NA,2020-05-22,Arizona
85141,ZCTA,1,NA,NA,2020-05-22,Arizona
85123,ZCTA,21,NA,NA,2020-05-22,Arizona
85191,ZCTA,1,NA,NA,2020-05-22,Arizona
85354,ZCTA,13,NA,NA,2020-05-22,Arizona
85332,ZCTA,0,NA,NA,2020-05-22,Arizona
85390,ZCTA,6,NA,NA,2020-05-22,Arizona
85326,ZCTA,124,NA,NA,2020-05-22,Arizona
85342,ZCTA,1,NA,NA,2020-05-22,Arizona
86332,ZCTA,0,NA,NA,2020-05-22,Arizona
85320,ZCTA,1,NA,NA,2020-05-22,Arizona
85361,ZCTA,16,NA,NA,2020-05-22,Arizona
85396,ZCTA,21,NA,NA,2020-05-22,Arizona
85322,ZCTA,0,NA,NA,2020-05-22,Arizona
85387,ZCTA,16,NA,NA,2020-05-22,Arizona
85362,ZCTA,0,NA,NA,2020-05-22,Arizona
85355,ZCTA,6,NA,NA,2020-05-22,Arizona
85340,ZCTA,35,NA,NA,2020-05-22,Arizona
85388,ZCTA,26,NA,NA,2020-05-22,Arizona
85395,ZCTA,37,NA,NA,2020-05-22,Arizona
85374,ZCTA,39,NA,NA,2020-05-22,Arizona
85343,ZCTA,0,NA,NA,2020-05-22,Arizona
85357,ZCTA,0,NA,NA,2020-05-22,Arizona
85338,ZCTA,78,NA,NA,2020-05-22,Arizona
85339,ZCTA,99,NA,NA,2020-05-22,Arizona
85255,ZCTA,50,NA,NA,2020-05-22,Arizona
85226,ZCTA,28,NA,NA,2020-05-22,Arizona
85259,ZCTA,16,NA,NA,2020-05-22,Arizona
85249,ZCTA,50,NA,NA,2020-05-22,Arizona
85353,ZCTA,133,NA,NA,2020-05-22,Arizona
85042,ZCTA,74,NA,NA,2020-05-22,Arizona
85043,ZCTA,82,NA,NA,2020-05-22,Arizona
85253,ZCTA,46,NA,NA,2020-05-22,Arizona
85045,ZCTA,11,NA,NA,2020-05-22,Arizona
85308,ZCTA,67,NA,NA,2020-05-22,Arizona
85050,ZCTA,33,NA,NA,2020-05-22,Arizona
85024,ZCTA,14,NA,NA,2020-05-22,Arizona
85041,ZCTA,114,NA,NA,2020-05-22,Arizona
85323,ZCTA,97,NA,NA,2020-05-22,Arizona
85286,ZCTA,48,NA,NA,2020-05-22,Arizona
85260,ZCTA,45,NA,NA,2020-05-22,Arizona
85009,ZCTA,123,NA,NA,2020-05-22,Arizona
85248,ZCTA,55,NA,NA,2020-05-22,Arizona
85345,ZCTA,140,NA,NA,2020-05-22,Arizona
85254,ZCTA,43,NA,NA,2020-05-22,Arizona
85281,ZCTA,84,NA,NA,2020-05-22,Arizona
85375,ZCTA,59,NA,NA,2020-05-22,Arizona
85225,ZCTA,114,NA,NA,2020-05-22,Arizona
85032,ZCTA,115,NA,NA,2020-05-22,Arizona
85379,ZCTA,56,NA,NA,2020-05-22,Arizona
85034,ZCTA,38,NA,NA,2020-05-22,Arizona
85282,ZCTA,60,NA,NA,2020-05-22,Arizona
85022,ZCTA,70,NA,NA,2020-05-22,Arizona
85351,ZCTA,54,NA,NA,2020-05-22,Arizona
85028,ZCTA,23,NA,NA,2020-05-22,Arizona
85027,ZCTA,41,NA,NA,2020-05-22,Arizona
85204,ZCTA,85,NA,NA,2020-05-22,Arizona
85373,ZCTA,15,NA,NA,2020-05-22,Arizona
85008,ZCTA,198,NA,NA,2020-05-22,Arizona
85392,ZCTA,80,NA,NA,2020-05-22,Arizona
85083,ZCTA,16,NA,NA,2020-05-22,Arizona
85018,ZCTA,38,NA,NA,2020-05-22,Arizona
85233,ZCTA,46,NA,NA,2020-05-22,Arizona
85040,ZCTA,50,NA,NA,2020-05-22,Arizona
85382,ZCTA,140,NA,NA,2020-05-22,Arizona
85335,ZCTA,78,NA,NA,2020-05-22,Arizona
85016,ZCTA,77,NA,NA,2020-05-22,Arizona
85258,ZCTA,25,NA,NA,2020-05-22,Arizona
85044,ZCTA,46,NA,NA,2020-05-22,Arizona
85224,ZCTA,181,NA,NA,2020-05-22,Arizona
85301,ZCTA,227,NA,NA,2020-05-22,Arizona
85201,ZCTA,41,NA,NA,2020-05-22,Arizona
85310,ZCTA,19,NA,NA,2020-05-22,Arizona
85307,ZCTA,14,NA,NA,2020-05-22,Arizona
85048,ZCTA,52,NA,NA,2020-05-22,Arizona
85283,ZCTA,78,NA,NA,2020-05-22,Arizona
85020,ZCTA,44,NA,NA,2020-05-22,Arizona
85037,ZCTA,169,NA,NA,2020-05-22,Arizona
85284,ZCTA,12,NA,NA,2020-05-22,Arizona
85029,ZCTA,74,NA,NA,2020-05-22,Arizona
85023,ZCTA,41,NA,NA,2020-05-22,Arizona
85054,ZCTA,13,NA,NA,2020-05-22,Arizona
85251,ZCTA,64,NA,NA,2020-05-22,Arizona
85021,ZCTA,98,NA,NA,2020-05-22,Arizona
85202,ZCTA,163,NA,NA,2020-05-22,Arizona
85210,ZCTA,50,NA,NA,2020-05-22,Arizona
85305,ZCTA,69,NA,NA,2020-05-22,Arizona
85381,ZCTA,43,NA,NA,2020-05-22,Arizona
85051,ZCTA,85,NA,NA,2020-05-22,Arizona
85257,ZCTA,129,NA,NA,2020-05-22,Arizona
85303,ZCTA,112,NA,NA,2020-05-22,Arizona
85033,ZCTA,203,NA,NA,2020-05-22,Arizona
85302,ZCTA,155,NA,NA,2020-05-22,Arizona
85306,ZCTA,24,NA,NA,2020-05-22,Arizona
85304,ZCTA,42,NA,NA,2020-05-22,Arizona
85035,ZCTA,177,NA,NA,2020-05-22,Arizona
85053,ZCTA,51,NA,NA,2020-05-22,Arizona
85017,ZCTA,101,NA,NA,2020-05-22,Arizona
85015,ZCTA,164,NA,NA,2020-05-22,Arizona
85309,ZCTA,1,NA,NA,2020-05-22,Arizona
85250,ZCTA,6,NA,NA,2020-05-22,Arizona
85378,ZCTA,16,NA,NA,2020-05-22,Arizona
85007,ZCTA,65,NA,NA,2020-05-22,Arizona
85031,ZCTA,94,NA,NA,2020-05-22,Arizona
85014,ZCTA,85,NA,NA,2020-05-22,Arizona
85006,ZCTA,51,NA,NA,2020-05-22,Arizona
85013,ZCTA,43,NA,NA,2020-05-22,Arizona
85019,ZCTA,74,NA,NA,2020-05-22,Arizona
85012,ZCTA,14,NA,NA,2020-05-22,Arizona
85003,ZCTA,26,NA,NA,2020-05-22,Arizona
85004,ZCTA,21,NA,NA,2020-05-22,Arizona
85363,ZCTA,78,NA,NA,2020-05-22,Arizona
85329,ZCTA,6,NA,NA,2020-05-22,Arizona
85287,ZCTA,0,NA,NA,2020-05-22,Arizona
85190,ZCTA,0,NA,NA,2020-05-22,Arizona
85118,ZCTA,15,NA,NA,2020-05-22,Arizona
85173,ZCTA,1,NA,NA,2020-05-22,Arizona
85142,ZCTA,81,NA,NA,2020-05-22,Arizona
85215,ZCTA,19,NA,NA,2020-05-22,Arizona
85140,ZCTA,51,NA,NA,2020-05-22,Arizona
85143,ZCTA,55,NA,NA,2020-05-22,Arizona
85119,ZCTA,23,NA,NA,2020-05-22,Arizona
85207,ZCTA,50,NA,NA,2020-05-22,Arizona
85212,ZCTA,34,NA,NA,2020-05-22,Arizona
85120,ZCTA,31,NA,NA,2020-05-22,Arizona
85268,ZCTA,30,NA,NA,2020-05-22,Arizona
85298,ZCTA,40,NA,NA,2020-05-22,Arizona
85295,ZCTA,50,NA,NA,2020-05-22,Arizona
85234,ZCTA,46,NA,NA,2020-05-22,Arizona
85296,ZCTA,34,NA,NA,2020-05-22,Arizona
85297,ZCTA,56,NA,NA,2020-05-22,Arizona
85209,ZCTA,81,NA,NA,2020-05-22,Arizona
85203,ZCTA,72,NA,NA,2020-05-22,Arizona
85205,ZCTA,80,NA,NA,2020-05-22,Arizona
85206,ZCTA,192,NA,NA,2020-05-22,Arizona
85213,ZCTA,27,NA,NA,2020-05-22,Arizona
85208,ZCTA,41,NA,NA,2020-05-22,Arizona
85541,ZCTA,6,NA,NA,2020-05-22,Arizona
86333,ZCTA,12,NA,NA,2020-05-22,Arizona
85324,ZCTA,0,NA,NA,2020-05-22,Arizona
86343,ZCTA,0,NA,NA,2020-05-22,Arizona
85262,ZCTA,13,NA,NA,2020-05-22,Arizona
85331,ZCTA,19,NA,NA,2020-05-22,Arizona
85383,ZCTA,49,NA,NA,2020-05-22,Arizona
85553,ZCTA,1,NA,NA,2020-05-22,Arizona
85087,ZCTA,6,NA,NA,2020-05-22,Arizona
85544,ZCTA,1,NA,NA,2020-05-22,Arizona
85086,ZCTA,41,NA,NA,2020-05-22,Arizona
85085,ZCTA,20,NA,NA,2020-05-22,Arizona
85266,ZCTA,6,NA,NA,2020-05-22,Arizona
85263,ZCTA,1,NA,NA,2020-05-22,Arizona
85377,ZCTA,1,NA,NA,2020-05-22,Arizona
85643,ZCTA,1,NA,NA,2020-05-22,Arizona
85546,ZCTA,12,NA,NA,2020-05-22,Arizona
85602,ZCTA,1,NA,NA,2020-05-22,Arizona
85632,ZCTA,0,NA,NA,2020-05-22,Arizona
85543,ZCTA,1,NA,NA,2020-05-22,Arizona
85631,ZCTA,1,NA,NA,2020-05-22,Arizona
85192,ZCTA,1,NA,NA,2020-05-22,Arizona
85641,ZCTA,26,NA,NA,2020-05-22,Arizona
85605,ZCTA,1,NA,NA,2020-05-22,Arizona
85534,ZCTA,0,NA,NA,2020-05-22,Arizona
85625,ZCTA,0,NA,NA,2020-05-22,Arizona
85629,ZCTA,50,NA,NA,2020-05-22,Arizona
85630,ZCTA,1,NA,NA,2020-05-22,Arizona
85623,ZCTA,1,NA,NA,2020-05-22,Arizona
85606,ZCTA,0,NA,NA,2020-05-22,Arizona
85619,ZCTA,0,NA,NA,2020-05-22,Arizona
85609,ZCTA,0,NA,NA,2020-05-22,Arizona
85756,ZCTA,105,NA,NA,2020-05-22,Arizona
85739,ZCTA,6,NA,NA,2020-05-22,Arizona
85749,ZCTA,16,NA,NA,2020-05-22,Arizona
85746,ZCTA,104,NA,NA,2020-05-22,Arizona
85747,ZCTA,23,NA,NA,2020-05-22,Arizona
85618,ZCTA,1,NA,NA,2020-05-22,Arizona
85745,ZCTA,85,NA,NA,2020-05-22,Arizona
85614,ZCTA,96,NA,NA,2020-05-22,Arizona
85757,ZCTA,56,NA,NA,2020-05-22,Arizona
85750,ZCTA,22,NA,NA,2020-05-22,Arizona
85622,ZCTA,6,NA,NA,2020-05-22,Arizona
85552,ZCTA,1,NA,NA,2020-05-22,Arizona
85718,ZCTA,50,NA,NA,2020-05-22,Arizona
85742,ZCTA,32,NA,NA,2020-05-22,Arizona
85755,ZCTA,6,NA,NA,2020-05-22,Arizona
85730,ZCTA,55,NA,NA,2020-05-22,Arizona
85713,ZCTA,110,NA,NA,2020-05-22,Arizona
85704,ZCTA,56,NA,NA,2020-05-22,Arizona
85737,ZCTA,13,NA,NA,2020-05-22,Arizona
85748,ZCTA,34,NA,NA,2020-05-22,Arizona
